model,slug,mae,rmse,mape,smape,r2,directional_accuracy
"ARIMA(1, 1, 1)",arima,0.09513136360871,0.15837698812440912,19.58042096421808,10.113748678608136,0.7443881835983461,59.52023988005997
"SARIMA(1, 1, 1)x(0, 0, 0, 21)",sarima,0.09513136360871,0.15837698812440912,19.58042096421808,10.113748678608136,0.7443881835983461,59.52023988005997
ETS (SimpleExpSmoothing),ets,0.09676193952247095,0.15925335433195975,19.78174653989343,10.255837520966324,0.7415515426171246,59.220389805097454
Moving Average (7-day),moving_average_7d,0.10398522275782811,0.16073586875993517,20.28210025333907,10.914170204517564,0.7367172710017188,59.220389805097454
Naive/Persistence,naive,0.10382699338455889,0.18953944978620438,20.431975990279412,11.264707729994674,0.6339031447895311,0.0
