model,slug,mae,rmse,mape,smape,r2,directional_accuracy
Top-5 Average,ensemble_top5,0.09367920891537665,0.15632960492856723,19.494955385778894,9.922977369859856,0.7509541966698258,59.220389805097454
Top-3 Average,ensemble_top3,0.0940491090345041,0.1565623050015154,19.531602747314082,9.950151394128245,0.75021222449159,59.820089955022496
Weighted Average (inv-MAE),ensemble_weighted,0.1147614770564083,0.17076393666083955,20.48434340243318,11.596228623644372,0.7028408664241784,58.02098950524738
Simple Average (all models),ensemble_avg_all,0.14239423159552522,0.19739029616871223,22.101098996624902,13.965657708384033,0.6029471072283769,56.22188905547226
Stacking (Ridge meta),ensemble_stack_ridge,0.16439641990482168,0.22679557016248397,23.097724308191143,15.958413347391007,0.47583755421241614,56.37181409295352
Stacking (Linear meta),ensemble_stack_linear,0.167776275867635,0.23685663654265543,23.488862547465324,16.582150275715783,0.42830040730637764,57.5712143928036
Stacking (XGBoost meta),ensemble_stack_xgb,0.19279762924396618,0.26441784180391287,25.12427070255742,18.49143875700967,0.2875108101291075,55.92203898050975
