model,slug,mae,rmse,mape,smape,r2,directional_accuracy
"GRU (vanilla, 64u)",gru_vanilla,0.11014208942651749,0.16539965569972992,21.132919192314148,11.485625803470612,0.721217155456543,62.368815592203894
"LSTM (vanilla, 64u)",lstm_vanilla,0.11420515179634094,0.16823849081993103,20.050083100795746,11.862272024154663,0.7115653157234192,59.67016491754122
LSTM (dropout=0.2),lstm_dropout20,0.1643548607826233,0.22133119404315948,25.761273503303528,16.22876673936844,0.5007914304733276,56.52173913043478
Stacked GRU (2-layer),gru_stacked,0.16446468234062195,0.21701647341251373,27.400264143943787,16.607262194156647,0.5200653076171875,57.42128935532234
Bidirectional GRU,bigru,0.1754951775074005,0.22709405422210693,27.085262537002563,17.797327041625977,0.4744569659233093,55.172413793103445
Bidirectional LSTM,bilstm,0.2587658166885376,0.3195774257183075,30.845165252685547,25.682416558265686,-0.0407559871673584,53.223388305847074
Stacked LSTM (2-layer),lstm_stacked,0.35129448771476746,0.4156106114387512,36.80715262889862,36.6309255361557,-0.7602323293685913,52.7736131934033
Deep LSTM (3-layer + BN),lstm_deep,0.4819725751876831,0.5511864423751831,46.596065163612366,55.177223682403564,-2.095949411392212,52.47376311844077
LSTM (dropout=0.4),lstm_dropout40,0.6496070623397827,0.6925742626190186,64.10272121429443,86.86482906341553,-3.8879804611206055,50.22488755622189
