stock
3MINDIA
AARTIIND
ABB
ABBOTINDIA
ABREL
ACC
ADANIENT
ADANIPORTS
AEGISLOG
AIAENG
AJANTPHARM
AMBUJACEM
APARINDS
APOLLOHOSP
APOLLOTYRE
ARE&M
ASAHIINDIA
ASHOKLEY
ASIANPAINT
ASTRAL
ASTRAZEN
ATUL
AUROPHARMA
AXISBANK
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BALKRISIND
BALRAMCHIN
BANKBARODA
BANKINDIA
BASF
BATAINDIA
BAYERCROP
BBTC
BEL
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BLUEDART
BLUESTARCO
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSOFT
CANBK
CARBORUNIV
CCL
CEATLTD
CENTRALBK
CENTURYPLY
CERA
CESC
CHAMBLFERT
CHENNPETRO
CHOLAFIN
CIPLA
COFORGE
COLPAL
CONCOR
COROMANDEL
CRISIL
CUB
CUMMINSIND
CYIENT
DABUR
DCMSHRIRAM
DIVISLAB
DLF
DRREDDY
EICHERMOT
EIDPARRY
EIHOTEL
ELECON
ELGIEQUIP
EMAMILTD
ENGINERSIN
ESCORTS
EXIDEIND
FEDERALBNK
FINCABLES
FINPIPE
FORTIS
FSL
GAIL
GESHIP
GILLETTE
GLAXO
GLENMARK
GMDCLTD
GMRAIRPORT
GNFC
GODFRYPHLP
GODREJCP
GODREJIND
GODREJPROP
GRANULES
GRAPHITE
GRASIM
GSPL
HAVELLS
HCLTECH
HDFCBANK
HEG
HEROMOTOCO
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HONAUT
ICICIBANK
IDBI
IDEA
IFCI
IGL
INDHOTEL
INDIACEM
INDIANB
INDUSINDBK
INFY
IOB
IOC
IPCALAB
IRB
ITC
ITI
J&KBANK
JBCHEPHARM
JINDALSAW
JINDALSTEL
JKCEMENT
JKTYRE
JMFINANCIL
JSL
JSWSTEEL
JUBLPHARMA
JYOTHYLAB
KAJARIACER
KANSAINER
KARURVYSYA
KEC
KOTAKBANK
KPIL
LICHSGFIN
LINDEINDIA
LT
LTFOODS
LUPIN
M&M
M&MFIN
MAHABANK
MAHSEAMLES
MARICO
MARUTI
MFSL
MMTC
MOTHERSON
MPHASIS
MRF
NATIONALUM
NAUKRI
NAVA
NCC
NESTLEIND
NHPC
NLCINDIA
NMDC
NTPC
OFSS
OIL
ONGC
PAGEIND
PCBL
PEL
PETRONET
PFC
PFIZER
PHOENIXLTD
PIDILITIND
PNB
POWERGRID
RADICO
RAMCOCEM
RAYMOND
RCF
RECLTD
REDINGTON
RELIANCE
SAIL
SBIN
SCHAEFFLER
SCI
SHREECEM
SHRIRAMFIN
SIEMENS
SKFINDIA
SOBHA
SRF
SUNDARMFIN
SUNDRMFAST
SUNPHARMA
SUNTV
SUPREMEIND
TATACHEM
TATACOMM
TATACONSUM
TATAELXSI
TATAMOTORS
TATAPOWER
TATASTEEL
TCS
TECHM
THERMAX
TIMKEN
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TVSMOTOR
UBL
UCOBANK
ULTRACEMCO
UNIONBANK
UNITDSPR
UPL
USHAMART
VEDL
VGUARD
VOLTAS
VTL
WELCORP
WIPRO
YESBANK
ZEEL
ZENSARTECH
ZFCVINDIA
ZYDUSLIFE
