DATE,Top100_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Liquidity_Index,Top100_Normalized,NIFTY50_Normalized
2011-06-01,-1.5656415476376166,-3.913769622719152,-2.3833846026227588,-2.830282867275501,-1.6318716203269517,-3.687685139808745
2011-06-02,-1.844496644925213,-1.8765040984448917,-2.402914376590056,-1.3570132920881819,-1.9188145083269457,-1.8843070073416204
2011-06-03,-1.7695002498216599,-2.227799721692339,-2.3387401117710405,-1.61105634512188,-1.8416429507333332,-2.1952722877370343
2011-06-06,-1.7282013485973569,-1.352764305261524,-2.3308567072264905,-0.978265459064881,-1.7991462343247173,-1.4206949357309737
2011-06-07,-1.805363877131107,-1.5801339257018332,-2.349525475406494,-1.142690145059568,-1.8785467509307339,-1.6219614847417958
2011-06-08,-1.524640992425271,-1.4964636774586746,-2.350927754752748,-1.082183142110638,-1.5896819030269302,-1.5478969633419357
2011-06-09,-1.8931384429267197,-0.8227347717056781,-2.315646537321722,-0.5949691354220769,-1.968867091664412,-0.9515152146846143
2011-06-10,-1.6207717080854922,-1.9117525699218247,-2.3019422753140044,-1.3825035877713243,-1.6886007517241854,-1.9155087932193036
2011-06-13,-1.5852310203249047,-0.9907148873551818,-2.261191669481046,-0.7164456885144977,-1.6520292574724191,-1.100210445444742
2011-06-14,-1.4406421067688653,-1.1278498300494841,-2.2176852597027494,-0.8156162366631219,-1.5032467506001774,-1.221601670057025
2011-06-15,-1.93157438287068,-2.3653506980547965,-2.1187308956105126,-1.7105277523083875,-2.0084178107216992,-2.3170317834512337
2011-06-16,-1.4028300948405148,-2.2878774815222305,-2.1340195036124827,-1.6545021967539693,-1.4643380556925096,-2.248452846203233
2011-06-17,-1.338557570272273,-1.8261126253297522,-2.0738102019889153,-1.3205721785932427,-1.3982013990631306,-1.839700705612237
2011-06-20,-1.6915413251847724,-5.366429308849,-2.1267915282362706,-3.8807887012848696,-1.7614229397015413,-4.973572855803126
2011-06-21,-1.5955095228670637,-1.515112728413539,-2.1382394589409612,-1.0956693956453645,-1.6626058731859221,-1.564405018027271
2011-06-22,-1.9332852586237967,-0.8689328413364665,-2.121485370807017,-0.6283777459387014,-2.010178307963398,-0.9924095348120978
2011-06-23,-1.8077741116123667,-2.324760641472669,-2.1512003590131124,-1.6811746342660634,-1.8810268907938277,-2.2811016508476856
2011-06-24,-1.8417165366226513,-5.123523995581253,-2.2073653806665092,-3.7051292187948786,-1.9159537669847602,-4.758554182494364
2011-06-27,-1.3808686311900373,-3.050086619033234,-2.1987342470714597,-2.205701595577918,-1.4417396314002127,-2.9231568916877464
2011-06-28,-1.2727502093908114,-1.430862417092522,-2.176919588613345,-1.034742914099209,-1.3304853904025122,-1.4898270274415844
2011-06-29,-1.0304815826247327,-2.192577117780132,-2.1491230443921463,-1.5855847558349536,-1.0811901108388942,-2.16409339970944
2011-06-30,-0.29907346049406575,-2.056176441623295,-2.170507338687746,-1.4869452001057453,-0.32856854891573267,-2.0433521444807696
2011-07-01,-1.212232275052298,-1.820783941304646,-2.2006224689577505,-1.3167186857831819,-1.2682122204881123,-1.8349837788635126
2011-07-04,-1.267244295571961,-1.3684617430497987,-2.1531520451318262,-0.9896172230967686,-1.3248197854785664,-1.4345902359291263
2011-07-05,-1.0715429340497538,-1.248356579826555,-2.0639387465457637,-0.9027619356090238,-1.1234423876582296,-1.3282736942842417
2011-07-06,-1.47356383493136,-0.9059265862972226,-2.057465882500445,-0.6551301541415234,-1.5371233261004424,-1.025156228802347
2011-07-07,-1.1777626460034125,-4.108692597192589,-2.120821283907857,-2.9712434266012324,-1.2327428494642976,-3.860230066079986
2011-07-08,-1.27241020007161,-3.0017198463089176,-2.1286705515544813,-2.170724665052321,-1.3301355196024174,-2.8803428454921183
2011-07-11,-1.7119888953847167,-1.9754421811686464,-2.1009928329902348,-1.4285613870063438,-1.7824635622428728,-1.971886546054819
2011-07-12,-1.5590527675772616,-3.5559350679632704,-2.1897869623170374,-2.571511118482303,-1.6250917421848454,-3.3709316271227894
2011-07-13,-1.5911569071510094,-2.4579367003671977,-2.1412591982386386,-1.7774822747649903,-1.6581270161161852,-2.39898848961118
2011-07-15,-1.5437147991111775,-1.1144310281492698,-2.1158567625621183,-0.8059122916743634,-1.6093089180208966,-1.2097234079343813
2011-07-18,-1.6464582471227227,-1.1222239492315427,-2.0790042368134247,-0.8115478229271874,-1.7150322918529495,-1.2166216660653724
2011-07-19,-1.323365361317461,-2.2614905325755217,-2.1092951110572247,-1.6354202024817421,-1.3825685619552717,-2.2250952395751167
2011-07-20,-1.6631896564517883,-2.476176460464125,-2.139163195549301,-1.7906725453945842,-1.7322489716263898,-2.4151342418993917
2011-07-21,-1.6971362472708713,-1.4365648893600085,-2.1371665692793456,-1.0388667157318068,-1.7671801344494087,-1.4948748298343768
2011-07-22,-1.4248000413075073,-3.556583414211704,-2.2282948573628802,-2.5719799767585676,-1.4869452088332047,-3.371505540259178
2011-07-25,-1.4157018952077802,-2.3695538748025315,-2.2435549008589035,-1.7135673229229145,-1.4775831841017397,-2.3207524163012203
2011-07-26,-1.3341968265914983,-4.582795934008473,-2.3632909357473464,-3.314096144277516,-1.3937141782887557,-4.279904173336101
2011-07-27,-1.327091415041569,-1.7651049742462797,-2.3845327738872393,-1.2764538665107064,-1.3864026845043602,-1.7856970116576596
2011-07-28,-0.6101409776913329,-2.2428953009917976,-2.380450927318473,-1.6219728689803212,-0.6486581316982739,-2.2086348255511785
2011-07-29,-1.2937005163469613,-1.1385771221238086,-2.3421409153385255,-0.8233737885624406,-1.3520433308560231,-1.2310974199810885
2011-08-01,-1.3838379600970339,-1.9188550817173275,-2.345232330551445,-1.3876398424278944,-1.4447950814181003,-1.921795904204585
2011-08-02,-1.4791733660994695,-2.583640003606014,-2.2524726870433454,-1.8683859149413322,-1.5428955536457156,-2.510260479216227
2011-08-03,-1.3293436457117582,-2.154724092916453,-2.2737930658601093,-1.5582109505081623,-1.3887202378832744,-2.130586075075745
2011-08-04,-1.4354377989313776,-3.5325618926939235,-2.3625807009053577,-2.5546085657273716,-1.4978914993049517,-3.350241799181939
2011-08-05,-1.22014878105997,-4.938882353196652,-2.4497180912961567,-3.5716037108055585,-1.2763583333575066,-4.5951102444059195
2011-08-08,-1.1552856720323743,-4.675777273205658,-2.4347932005503035,-3.381336558679651,-1.209613963216618,-4.362210829899902
2011-08-09,-1.0743234582382337,-3.8430064041705014,-2.4612238600548797,-2.779109715966618,-1.1263035569485058,-3.625045862113665
2011-08-10,-1.5385590752743907,-3.7351581060119923,-2.5380337163521953,-2.701118106861436,-1.6040036598353802,-3.529579041414319
2011-08-11,-1.6824380577301228,-1.66536996553326,-2.5204601446106327,-1.204329466344323,-1.752055645077626,-1.6974120377004485
2011-08-12,-1.3805127290530257,-3.838499778495706,-2.57987092250638,-2.775850703130871,-1.441373406834003,-3.6210566176601042
2011-08-16,-1.9742004717409698,-2.748129201018862,-2.6107824311635204,-1.9873379745073811,-2.052280207943618,-2.6558655651055934
2011-08-17,-1.7244292545826772,-2.0068570910802612,-2.632062276097869,-1.451279403106145,-1.7952647361526992,-1.9996948807529737
2011-08-18,-1.9530031990561938,-5.381177794214387,-2.76982298324413,-3.891454220585139,-2.0304681388760053,-4.986628147652933
2011-08-19,-1.5979686649634495,-4.434711446073903,-2.8874491452366864,-3.2070073195604163,-1.665136339159121,-4.1488204613128845
2011-08-22,-1.8727313250195883,-3.1559602188654603,-2.8556913992924486,-2.282265181222426,-1.947868094676419,-3.016875718452376
2011-08-23,-1.7721307178796502,-3.0254181345703666,-2.8564813422344963,-2.1878623266205395,-1.844349711731046,-2.9013204619679205
2011-08-24,-1.75687678143728,-3.1508721905920014,-2.8956623425486088,-2.2785857211011686,-1.8286533568187031,-3.0123718190752937
2011-08-25,-1.2539260360149946,-2.8913045757916276,-2.873507992809554,-2.090876723411454,-1.3111152489734723,-2.7826037525909824
2011-08-26,-2.3182702428246196,-5.02355803748313,-2.9590287040467516,-3.632837805198765,-2.406329227483025,-4.67006477319682
2011-08-29,-2.6272782277853923,-5.24515997990445,-3.0967196691052576,-3.793091535349156,-2.724299544261046,-4.8662257999815886
2011-08-30,-1.652100714505504,-3.7841412771276866,-3.185450246701796,-2.7365407922409735,-1.7208384108803927,-3.572938720649261
2011-09-02,-1.6439653194398038,-2.8592354815694745,-3.2053750783349275,-2.0676856271805666,-1.7124670603909111,-2.7542163369305417
2011-09-05,-1.651066863634579,-1.7234591725849988,-3.18028450207229,-1.2463372755259807,-1.719774574653083,-1.7488323383344457
2011-09-06,-1.419737907432519,-3.213970295212625,-3.239531348934044,-2.324215766218958,-1.481736255051615,-3.0682259729482855
2011-09-07,-1.4387699161158458,-2.9537260467586064,-3.219436103352274,-2.136017453924159,-1.5013202597521011,-2.837858953445757
2011-09-08,-1.4391079444719577,-1.9167359112716582,-3.204342171234578,-1.386107342464075,-1.5016680921341234,-1.919920024209977
2011-09-09,-1.8404497545284648,-4.3820569470806,-3.1976508716703154,-3.1689296755619987,-1.9146502436993396,-4.10221093941742
2011-09-12,-2.43278215258991,-4.476606919932958,-3.288034269859872,-3.2373044635699526,-2.5241623903624495,-4.185906143324649
2011-09-13,-1.629851990041633,-1.8866126392616398,-3.276158181135533,-1.364323387634102,-1.6979443941882932,-1.8932550414799632
2011-09-14,-1.83384179316092,-3.7360405702738255,-3.362740296073867,-2.7017562699936626,-1.9078506279238385,-3.5303601947463275
2011-09-15,-1.876834779012818,-3.6092670651149006,-3.4190873621871196,-2.6100787022612826,-1.9520905634462047,-3.4181408672920655
2011-09-16,-1.2544789930112885,-1.4002194421363094,-3.379640010138129,-1.012583130723747,-1.3116842436915166,-1.4627020060384675
2011-09-19,-2.0993134586263995,-2.382119379512857,-3.3872198530246758,-1.7226541972483367,-2.1810219169258462,-2.3318753436506565
2011-09-20,-2.043897046559933,-4.834315148763594,-3.4306116282269983,-3.495984858467448,-2.1239982315938555,-4.502547832878844
2011-09-21,-1.7093468848642546,-1.143710788602962,-3.3041059094072085,-0.8270862524228351,-1.7797449240101786,-1.2356417180893005
2011-09-22,-2.7507402640418688,-5.514903736714782,-3.33207679152418,-3.988159515084865,-2.8513424191677084,-5.105001740871558
2011-09-23,-1.6431694093781042,-3.184758348068529,-3.3101351896541136,-2.3030908453647125,-1.711648066103506,-3.0423676908251367
2011-09-26,-2.2977756558476767,-2.7579152400735962,-3.277560427456167,-1.9944148495779837,-2.385240224510754,-2.664528122157926
2011-09-27,-2.336763211954848,-4.600866919244995,-3.375410325913225,-3.32716436362615,-2.425358558564069,-4.295900526889126
2011-09-28,-2.0788998655647046,-2.0931319238298687,-3.317231397424364,-1.5136699382032577,-2.1600162569807524,-2.076064968455864
2011-09-29,-1.0878124251111427,-3.909588782718486,-3.3559467168143513,-2.8272594497099868,-1.140183751889525,-3.6839842793451925
2011-09-30,-2.0433001233805594,-3.656685865844354,-3.4109410093064882,-2.644370097061899,-2.123383995516876,-3.460115773009755
2011-10-03,-2.675696830204175,-3.767408409377727,-3.357148696478599,-2.724440246353402,-2.7741224585491793,-3.558126862580593
2011-10-04,-1.8406369154161462,-4.422109390872741,-3.356728627971894,-3.1978940133705827,-1.9148428329191685,-4.137665179635983
2011-10-05,-1.9253981453208664,-2.007686247893898,-3.318452828939508,-1.4518790164074231,-2.0020624402918386,-2.0004288465754363
2011-10-07,-2.1618749064506955,-4.410531745535125,-3.3646232826383335,-3.1895215197388085,-2.2453978694932477,-4.127416700889083
2011-10-10,-1.9121631182656107,-4.364535716001196,-3.4050787334853063,-3.1562590166019655,-1.9884435503273623,-4.086701225732083
2011-10-11,-1.3742032303128218,-1.3959780440105074,-3.3552345157592693,-1.0095159199254753,-1.434880910164741,-1.458947539799275
2011-10-12,-1.9575734277026435,-4.978476092824978,-3.353731784270664,-3.6002363319672406,-2.0351709204259514,-4.630158441794797
2011-10-13,-1.8800476287707644,-1.7138713122751765,-3.236022162016355,-1.2394037154586748,-1.9553965972868,-1.7403452082014983
2011-10-14,-1.922024221495715,-2.8588622200711855,-3.205179526781138,-2.067415699278452,-1.9985906606625696,-2.753885927557936
2011-10-17,-2.1959216869674947,-1.5567034149512995,-3.161761791227199,-1.1257461295600872,-2.280432127871952,-1.6012209036950023
2011-10-18,-2.2806795921086014,-3.1685816187229596,-3.209932539431798,-2.291392476700001,-2.3676483140510256,-3.0280481239306685
2011-10-19,-2.1039688003648833,-4.144334591203102,-3.2409446826314805,-2.9970183021631223,-2.1858122801505493,-3.8917801963061285
2011-10-20,-2.1405748131597027,-2.4088355129218932,-3.222781664836923,-1.741974244659535,-2.2234799976557347,-2.355524342860562
2011-10-21,-2.0503104711700546,-2.473382544444232,-3.2413365526093423,-1.788652096209786,-2.130597668353301,-2.412661080205842
2011-10-24,-2.0214831105609283,-2.4119395947239215,-3.175665974197453,-1.7442189934285743,-2.1009342116438514,-2.3582720618871047
2011-10-25,-1.2476736340639227,-4.446097623413192,-3.174648997646794,-3.2152413511344977,-1.3046815051035259,-4.15889945346261
2011-10-28,-1.875492961533336,-4.494388224299951,-3.261574850481405,-3.250163197210168,-1.9507098284821445,-4.201646072695712
2011-10-31,-1.7557000160784502,-1.7301831858355654,-3.194712937666796,-1.251199815056141,-1.827442461074478,-1.754784404137361
2011-11-01,-1.9927653477189082,-3.0119085459368575,-3.174800987027528,-2.178092728269271,-2.0713835314269877,-2.889361835843829
2011-11-02,-1.7768370390986719,-1.3601512793782247,-3.1734653816022584,-0.9836074255828234,-1.84919253302274,-1.427233851463082
2011-11-03,-1.6275987212911336,-1.3747415889415555,-3.1398861219165486,-0.9941585584204918,-1.6956257726210437,-1.4401491268157192
