DATE,Top100_Liquidity_Index
2011-06-01,-1.5656415476376166
2011-06-02,-1.844496644925213
2011-06-03,-1.7695002498216599
2011-06-06,-1.7282013485973569
2011-06-07,-1.805363877131107
2011-06-08,-1.524640992425271
2011-06-09,-1.8931384429267197
2011-06-10,-1.6207717080854922
2011-06-13,-1.5852310203249047
2011-06-14,-1.4406421067688653
2011-06-15,-1.93157438287068
2011-06-16,-1.4028300948405148
2011-06-17,-1.338557570272273
2011-06-20,-1.6915413251847724
2011-06-21,-1.5955095228670637
2011-06-22,-1.9332852586237967
2011-06-23,-1.8077741116123667
2011-06-24,-1.8417165366226513
2011-06-27,-1.3808686311900373
2011-06-28,-1.2727502093908114
2011-06-29,-1.0304815826247327
2011-06-30,-0.29907346049406575
2011-07-01,-1.212232275052298
2011-07-04,-1.267244295571961
2011-07-05,-1.0715429340497538
2011-07-06,-1.47356383493136
2011-07-07,-1.1777626460034125
2011-07-08,-1.27241020007161
2011-07-11,-1.7119888953847167
2011-07-12,-1.5590527675772616
2011-07-13,-1.5911569071510094
2011-07-14,-1.1083292129665216
2011-07-15,-1.5437147991111775
2011-07-18,-1.6464582471227227
2011-07-19,-1.323365361317461
2011-07-20,-1.6631896564517883
2011-07-21,-1.6971362472708713
2011-07-22,-1.4248000413075073
2011-07-25,-1.4157018952077802
2011-07-26,-1.3341968265914983
2011-07-27,-1.327091415041569
2011-07-28,-0.6101409776913329
2011-07-29,-1.2937005163469613
2011-08-01,-1.3838379600970339
2011-08-02,-1.4791733660994695
2011-08-03,-1.3293436457117582
2011-08-04,-1.4354377989313776
2011-08-05,-1.22014878105997
2011-08-08,-1.1552856720323743
2011-08-09,-1.0743234582382337
2011-08-10,-1.5385590752743907
2011-08-11,-1.6824380577301228
2011-08-12,-1.3805127290530257
2011-08-16,-1.9742004717409698
2011-08-17,-1.7244292545826772
2011-08-18,-1.9530031990561938
2011-08-19,-1.5979686649634495
2011-08-22,-1.8727313250195883
2011-08-23,-1.7721307178796502
2011-08-24,-1.75687678143728
2011-08-25,-1.2539260360149946
2011-08-26,-2.3182702428246196
2011-08-29,-2.6272782277853923
2011-08-30,-1.652100714505504
2011-09-02,-1.6439653194398038
2011-09-05,-1.651066863634579
2011-09-06,-1.419737907432519
2011-09-07,-1.4387699161158458
2011-09-08,-1.4391079444719577
2011-09-09,-1.8404497545284648
2011-09-12,-2.43278215258991
2011-09-13,-1.629851990041633
2011-09-14,-1.83384179316092
2011-09-15,-1.876834779012818
2011-09-16,-1.2544789930112885
2011-09-19,-2.0993134586263995
2011-09-20,-2.043897046559933
2011-09-21,-1.7093468848642546
