SYMBOL,YEAR_MONTH,AMIHUD,HL_RANGE,ROLL_SPREAD,ZERO_RATIO,NEAR_ZERO,FHT,PASTOR,AMIVEST,LOT,VOLUME_ILLIQ,TURNOVER_ILLIQ,CV_TURNOVER,DOLLAR_ILLIQ
360ONE,2019-10,0.0020196151078362055,0.056599188705363374,0.0,0.0,0.0,0.0,-0.00467405719144807,6.103076556271984e-10,0.11764705882352941,3.482918221080169e-05,2.988021214681702e-08,2.237308101640183,2.427724238303719e-06
360ONE,2019-11,0.0014919858753953143,0.04281806521276867,18.010754775458167,0.0,0.0,0.0,0.0012017934641577227,1.059450041687586e-09,0.0,9.555890011705966e-05,7.446998378595947e-08,0.8251519205474651,1.8884301115316034e-06
360ONE,2019-12,0.003263421375230227,0.052809672178857604,21.140606972314934,0.0,0.0,0.0,0.0007108885675424166,1.8454471807729545e-09,0.0,0.00011163087391027005,9.817636004030635e-08,1.0532351048468966,3.8142741700190186e-06
360ONE,2020-01,0.0022603711075471454,0.049349557376373566,0.0,0.0,0.0,0.0,0.000796470377869075,1.2609782273117254e-09,0.0,6.919540783171677e-05,5.4793578600966884e-08,1.0986406655206176,2.6770779184843486e-06
360ONE,2020-02,0.000730051781388922,0.05129492912513111,0.0,0.13043478260869565,0.13043478260869565,0.008244438114473921,-0.0030580031366349426,3.5723178860240606e-10,0.13043478260869565,2.1416566179517382e-05,1.4264370320574634e-08,1.767595584515701,1.1015426529639454e-06
360ONE,2020-03,0.002077005276545804,0.09019865398896983,0.0,0.25,0.25,0.043255370134995634,0.008781492465701524,1.0033147880402277e-09,0.25,2.3878540100170473e-05,2.2075289570510826e-08,1.9605085090018237,2.0806686062423735e-06
360ONE,2020-04,0.006074751610772636,0.07036366632605064,36.19104861702684,0.0,0.0,0.0,0.011723567483017916,2.268284466710643e-09,0.0,6.873823335102706e-05,7.141267867862333e-08,1.642897272561617,5.730367890951218e-06
360ONE,2020-05,0.0038922951432388106,0.0475445470860358,16.653761057278963,0.0,0.0,0.0,-0.001666631279872318,2.1405892934772997e-09,0.10526315789473684,0.0001461133839859731,1.674542707901215e-07,1.4522067277826007,3.3395800965755754e-06
360ONE,2020-06,0.0035398902893589825,0.07045406785335094,40.72042420418061,0.0,0.045454545454545456,0.0,0.017321631748461595,9.61404837079942e-10,0.045454545454545456,3.711176037948462e-05,3.559423157740931e-08,2.2533023642196874,2.304340410490168e-06
360ONE,2020-07,0.0010176880462322555,0.039727792856844454,0.0,0.0,0.08695652173913043,0.0,0.002390550012654313,6.562922931242807e-10,0.08695652173913043,5.3132876082582346e-05,5.462136495225903e-08,1.4003931644395766,1.0044704885909022e-06
360ONE,2020-08,0.0015486670752196579,0.06139974353183895,14.852563919093448,0.0,0.0,0.0,0.0046929315427794455,7.36845598399556e-10,0.0,3.842128758882636e-05,3.5255301024394874e-08,1.0625473906666145,1.6286960711186875e-06
360ONE,2020-09,0.0004305660485448271,0.036527642475346574,22.358794925628587,0.0,0.0,0.0,0.009731886385950931,1.6788942473267588e-10,0.0,1.4878365976693714e-05,1.5133474463129008e-08,1.4289793903100674,4.2496128104970993e-07
360ONE,2020-10,0.0011046991555108544,0.032014052858292445,18.940666821659743,0.0,0.0,0.0,-0.0028882544961819257,4.4901995067422804e-10,0.0,2.83909240975404e-05,3.073180587547373e-08,1.5016575247468655,1.027146852106244e-06
360ONE,2020-11,0.0007987657636242082,0.03332341093611675,0.0,0.0,0.0,0.0,-0.005551889014840731,3.3880543184613127e-10,0.0,2.0336901103683624e-05,2.1183349704108427e-08,0.9134442299968102,7.463906648580649e-07
360ONE,2020-12,0.0005211385238444126,0.03361247562947193,15.621383792063506,0.0,0.0,0.0,0.00733634230771912,4.175909150869672e-10,0.045454545454545456,3.53261000467268e-05,3.43033782793251e-08,0.9349591771845437,5.296294376477812e-07
360ONE,2021-01,0.0005308280456804248,0.031546445107644296,0.0,0.0,0.0,0.0,-0.005020792015948104,2.7216890835172156e-10,0.05,2.3266608577700584e-05,2.204297674064171e-08,0.9753249180340563,5.483656653463094e-07
360ONE,2021-02,0.0005508801365296555,0.043927306868327104,0.0,0.05,0.1,0.002817255397540972,-0.0035051864972481,2.324583341642702e-10,0.1,1.5602863437498048e-05,1.3382273163202726e-08,1.3514454818071837,6.400605470311066e-07
360ONE,2021-03,0.0007202699670930556,0.03660607278433442,20.15457227593106,0.0,0.0,0.0,-0.016346818135463813,3.9498576248675497e-10,0.047619047619047616,3.38806401182273e-05,2.8369011827747014e-08,1.3281233202759457,8.570042142629573e-07
360ONE,2021-04,0.001295491781866507,0.04878584438926333,35.993272962171766,0.0,0.0,0.0,0.004547535647747157,5.215959721427793e-10,0.0,2.577809133584783e-05,2.0967749299649336e-08,1.702922404574047,1.491155536222289e-06
360ONE,2021-05,0.0006062065690922318,0.05249781691142961,24.89079547435969,0.0,0.0,0.0,0.0015289096539585984,2.5251019577032206e-10,0.05,1.5066821352699222e-05,1.2815801857854078e-08,1.5657983418579788,7.071358195319852e-07
360ONE,2021-06,0.0003965920639345691,0.02760017750987731,1.1393442250513064,0.0,0.0,0.0,-0.0009401270720820919,1.7376756662942328e-10,0.0,1.8873622225577534e-05,1.649856301867603e-08,1.7559365984866009,4.5918493354239184e-07
360ONE,2021-07,0.0002962493420031036,0.04807409786707988,14.993811588949631,0.0,0.0,0.0,-0.007351135568015449,1.876727033901473e-10,0.0,1.2885222122821936e-05,9.609398030809941e-09,1.0833684386818268,3.638125075717751e-07
360ONE,2021-08,0.00018669718721105248,0.052756965177192014,81.45310763064874,0.0,0.0,0.0,-0.02079596548710752,7.226188092120043e-11,0.0,3.682488155539883e-06,2.3538865280392375e-09,2.0941266958023292,2.8379471594213165e-07
360ONE,2021-09,0.00019702292142871608,0.037977881331199385,0.0,0.0,0.0,0.0,0.006087691720526308,1.2970260296277792e-10,0.047619047619047616,1.3999122721642777e-05,8.548896403593904e-09,1.0639443101963562,3.147077242113313e-07
360ONE,2021-10,0.00026668771649666705,0.04792370534824467,84.27374745318922,0.0,0.0,0.0,0.047769648624093004,1.7896236348454722e-10,0.1,1.2373802679918186e-05,7.486023078470478e-09,1.2010497708845693,4.293631917075337e-07
