proxy,weight
AMIHUD,-0.31467207125816515
HL_RANGE,-0.4422557960974083
LOT,-0.5288080688454966
ROLL_SPREAD,-0.11946566126340667
VOLUME_ILLIQ,-0.2284603380372576
ZERO_RATIO,-0.5994056676701006
