DATE,SYMBOL,ILLIQ_t,DEPTH_t,SPREAD_t,REV_t
2013-01-23,NIFTY50,1.1560621777925842e-12,-20.536260216123544,0.008035595182465716,5.328586879284493e-06
2013-01-24,NIFTY50,5.178321736011009e-12,-20.831926177366363,0.009544171064849534,5.535352722728678e-06
2013-01-25,NIFTY50,1.0246283840865078e-11,-20.614140829568104,0.010881221212352852,5.303390549662822e-05
2013-01-28,NIFTY50,3.5916382978247566e-14,-20.34793197726454,0.004444590911319576,-2.2670503391334054e-07
2013-01-29,NIFTY50,4.298938881376015e-12,-20.67561246327559,0.01146293500626907,1.011469620330846e-07
2013-01-30,NIFTY50,1.2856578101608747e-12,-20.438411962702425,0.004590726659579738,3.96351585858649e-06
2013-01-31,NIFTY50,3.410296724014469e-12,-20.739980737410857,0.005451742382658768,3.3532527049200172e-06
2013-02-01,NIFTY50,6.216467507655614e-12,-20.6778758787348,0.011627131830079197,-2.060072081513049e-05
2013-02-04,NIFTY50,2.2890402331503546e-12,-20.558854914051487,0.009561985886675853,-1.1536703446466556e-05
2013-02-05,NIFTY50,6.247917547659778e-12,-20.514185148050764,0.003936644176826522,-9.84426666857709e-06
2013-02-06,NIFTY50,4.106462627119764e-13,-20.66177524409435,0.006334742710891657,1.957471959946494e-06
2013-02-07,NIFTY50,3.657594946267165e-12,-20.657077796332647,0.008570738872789526,1.3219449111194496e-06
2013-02-08,NIFTY50,5.227665202947309e-12,-20.851671453572823,0.011865891923223511,-2.0348112249065412e-05
2013-02-11,NIFTY50,1.3300801504756293e-12,-20.39411949836498,0.007638343454236378,-5.688594677167596e-06
2013-02-12,NIFTY50,4.941834484152299e-12,-20.555714266102967,0.00695647227205572,3.999934195426281e-06
2013-02-13,NIFTY50,2.085590833470856e-12,-20.556075659847664,0.00784597934502771,-7.374639766892898e-06
2013-02-14,NIFTY50,7.15559005443925e-12,-20.558369305646277,0.00943714781061516,1.0706589115360985e-05
2013-02-15,NIFTY50,2.1989147272223983e-12,-20.41743843426784,0.007821838796854545,-9.82700173463238e-06
2013-02-18,NIFTY50,2.7211110114193787e-12,-20.328984382980366,0.005518599506569553,2.9709903047731797e-06
2013-02-19,NIFTY50,1.1728505838412077e-11,-20.21228973640363,0.010842281634782375,-1.2907454046262948e-05
2013-02-20,NIFTY50,7.008121200945862e-13,-20.505966356429575,0.0056284561650680786,-3.967877230833232e-06
2013-02-21,NIFTY50,1.6378131611925747e-11,-20.653753528075217,0.013114614037336067,8.615989941832982e-06
2013-02-22,NIFTY50,3.6280850769615747e-13,-20.638249272996443,0.006495393615478106,-5.091324551693644e-06
2013-02-25,NIFTY50,1.0385688291689774e-12,-20.411877274392282,0.009120782671121739,2.5348728936068626e-07
2013-02-26,NIFTY50,1.759175110172583e-11,-20.62547273424682,0.015664731090845218,1.213497864199597e-05
2013-02-27,NIFTY50,6.07551432047596e-12,-20.738762012511827,0.011816660828023734,9.843533401192272e-05
2013-02-28,NIFTY50,9.396172410117558e-12,-21.368588636627738,0.03126619406235296,0.00011054117087128042
2013-03-01,NIFTY50,4.690184194139381e-12,-20.72135169121984,0.010411436077987725,8.38628666891513e-05
2013-03-04,NIFTY50,4.488876510247298e-12,-20.53175739081564,0.008493446054882864,1.7351027276187812e-05
2013-03-05,NIFTY50,1.684919763221625e-11,-20.610195903280314,0.01170423050741237,5.5775076260759454e-05
2013-03-06,NIFTY50,6.504882660334911e-12,-20.632178918560506,0.0057832451208589646,-8.936233268449579e-05
2013-03-07,NIFTY50,9.726945202437704e-12,-20.48727319435261,0.013081404306015686,-4.562124023782473e-05
2013-03-08,NIFTY50,1.5674107483093913e-11,-20.614133316719084,0.011748001978189005,-0.0001079626002877109
2013-03-11,NIFTY50,7.561338633463503e-13,-20.429123881971087,0.006874401034089506,7.918476452864439e-06
2013-03-12,NIFTY50,6.935665027008801e-12,-20.345577656598085,0.009866268188354482,-2.6786420211922637e-06
2013-03-13,NIFTY50,1.557562513185322e-11,-20.341763900514152,0.008818720251203805,-5.056168254346291e-05
2013-03-14,NIFTY50,1.1210124417263807e-11,-20.595925048758307,0.021729731695083184,0.00010497075755796791
2013-03-15,NIFTY50,6.88256262181749e-12,-20.611003487068523,0.014414382204831844,6.0715878547592955e-05
2013-03-18,NIFTY50,1.0612834751780459e-11,-20.211239786289614,0.006143712378432801,-3.912519960060472e-05
2013-03-19,NIFTY50,1.4609740949217124e-11,-20.769659533408593,0.0242432127383196,-9.733126220427429e-05
2013-03-20,NIFTY50,8.398243893431666e-12,-20.78930581409676,0.01106350117315609,-0.00013729677061451436
2013-03-21,NIFTY50,6.173790214339222e-12,-20.737216079259284,0.019403544013695605,-5.616679745876174e-05
2013-03-22,NIFTY50,1.399846495724637e-12,-20.655167035812184,0.010555069070970926,-8.1868316941755e-06
2013-03-25,NIFTY50,3.654539936453515e-12,-20.557602033025624,0.016684859975082608,-4.049405954842277e-06
2013-03-26,NIFTY50,1.927540850762127e-12,-20.385920598064512,0.007666264756689828,4.259731754957263e-06
2013-03-28,NIFTY50,6.091255538277281e-12,-20.898588537990737,0.015503620854070962,-9.984927504869677e-06
