DATE,NIFTY50_Liquidity_Index
2010-01-06,-0.6809711045585172
2010-01-07,-1.0446487787406387
2010-01-08,-0.9081692630860054
2010-01-11,-0.7718157038603823
2010-01-12,-1.8227227383237021
2010-01-13,-1.2538753241874094
2010-01-14,-1.0520312172543185
2010-01-15,-0.6503387769010291
2010-01-18,-1.1751910205388607
2010-01-19,-1.7716204041600405
2010-01-20,-0.7254759986030068
2010-01-21,-3.7957760057536616
2010-01-22,-2.6204748112623015
2010-01-25,-1.2427887968057438
2010-01-27,-4.215160092079263
2010-01-28,-1.444376707578176
2010-01-29,-1.6563088905348604
2010-02-01,-1.3913566670185131
2010-02-02,-2.9650990799680095
2010-02-03,-3.5227251674244395
2010-02-04,-2.987838411261445
2010-02-05,-3.8731222286886755
2010-02-08,-2.285457729474503
2010-02-09,-1.561613016834923
2010-02-10,-1.7085976299242362
2010-02-11,-2.5557832679823345
2010-02-15,-1.3043545767894573
2010-02-16,-2.1960339280929104
2010-02-17,-2.118075048644337
2010-02-18,-1.194011975610545
2010-02-19,-1.8678063445738482
2010-02-22,-1.034716265610851
2010-02-23,-0.9424537976804638
2010-02-24,-0.8485540196180493
2010-02-25,-0.6070039011860583
2010-02-26,-2.7642162236805863
2010-03-02,-3.0781967661083103
2010-03-03,-2.379298921707152
2010-03-04,-0.7611335960372222
2010-03-05,-0.7957136880304622
2010-03-08,-1.4007955749815604
2010-03-09,-0.977893355430903
2010-03-10,-0.8816825898861599
2010-03-11,-0.9735853713643837
2010-03-12,-0.5624562218544192
2010-03-15,-0.7764459721918614
2010-03-16,-2.3468655953747324
2010-03-17,-1.5797525183374874
2010-03-18,-0.8134089280684222
2010-03-19,-0.8016381689105512
2010-03-22,-1.9890115041970662
2010-03-23,-1.0203976648566941
2010-03-25,-1.4427610823781103
2010-03-26,-0.8987488262085306
2010-03-29,-1.3295380680541093
2010-03-30,-1.6196411901114942
2010-03-31,-0.9444300380929049
2010-04-01,-1.4439125135449316
2010-04-05,-2.4746309519405942
2010-04-06,-0.5298511083978861
2010-04-07,-0.7995352284693542
2010-04-08,-2.367545722228975
2010-04-09,-1.9695722539468263
2010-04-12,-1.0965825214073375
2010-04-13,-0.9702515150677268
2010-04-15,-2.080092277670335
2010-04-16,-0.7837824066433076
2010-04-19,-2.388382833864802
2010-04-20,-1.1423441221940898
2010-04-21,-0.786299558327376
2010-04-22,-1.6057372456997148
2010-04-23,-1.234949442592328
2010-04-26,-0.9075975670823472
2010-04-27,-0.7072769677813394
2010-04-28,-2.9637814856897267
2010-04-29,-1.404456003091368
2010-04-30,-1.0072183766004803
2010-05-03,-1.8915587810558414
2010-05-04,-2.697162532509739
2010-05-05,-1.460092115027196
2010-05-06,-1.649162913873327
2010-05-07,-2.608913854830789
2010-05-10,-4.141350858725142
2010-05-11,-2.0757116937720497
2010-05-12,-1.2431862866042314
2010-05-13,-1.194629698799265
2010-05-14,-3.0174491738712876
2010-05-17,-2.003023393338408
2010-05-18,-1.0155281628335366
2010-05-19,-4.0356004240722685
2010-05-20,-1.2963345521474867
2010-05-21,-1.4691652117126461
