DATE,Market_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Index
2011-06-01,-1.30399843118006,-3.913769622719152,-2.3833846026227588,-2.830282867275501
2011-06-02,-1.400764499379262,-1.8765040984448917,-2.402914376590056,-1.3570132920881819
2011-06-03,-1.397904990890634,-2.227799721692339,-2.3387401117710405,-1.61105634512188
2011-06-06,-1.7990274840719669,-1.352764305261524,-2.3308567072264905,-0.978265459064881
2011-06-07,-1.4810683936134736,-1.5801339257018332,-2.349525475406494,-1.142690145059568
2011-06-08,-1.3771004318133435,-1.4964636774586746,-2.350927754752748,-1.082183142110638
2011-06-09,-1.4608588363742567,-0.8227347717056781,-2.315646537321722,-0.5949691354220769
2011-06-10,-1.5704612690744684,-1.9117525699218247,-2.3019422753140044,-1.3825035877713243
2011-06-13,-1.5455002818825132,-0.9907148873551818,-2.261191669481046,-0.7164456885144977
2011-06-14,-1.2916344895377416,-1.1278498300494841,-2.2176852597027494,-0.8156162366631219
2011-06-15,-1.457286573033881,-2.3653506980547965,-2.1187308956105126,-1.7105277523083875
2011-06-16,-1.3244438551412236,-2.2878774815222305,-2.1340195036124827,-1.6545021967539693
2011-06-17,-1.3873074843985955,-1.8261126253297522,-2.0738102019889153,-1.3205721785932427
2011-06-20,-1.537652151904093,-5.366429308849,-2.1267915282362706,-3.8807887012848696
2011-06-21,-1.5581781056040074,-1.515112728413539,-2.1382394589409612,-1.0956693956453645
2011-06-22,-1.6787168310162577,-0.8689328413364665,-2.121485370807017,-0.6283777459387014
2011-06-23,-1.5246770784608383,-2.324760641472669,-2.1512003590131124,-1.6811746342660634
2011-06-24,-1.5820549328986435,-5.123523995581253,-2.2073653806665092,-3.7051292187948786
2011-06-27,-1.4043127541750604,-3.050086619033234,-2.1987342470714597,-2.205701595577918
2011-06-28,-1.3544828116006509,-1.430862417092522,-2.176919588613345,-1.034742914099209
2011-06-29,-1.0975918669251763,-2.192577117780132,-2.1491230443921463,-1.5855847558349536
