model,slug,mae,rmse,mape,smape,r2,directional_accuracy
Transformer (4-head),transformer_4h,0.1140965074300766,0.1690814048051834,21.6741144657135,11.9384765625,0.7086678743362427,60.86956521739131
WaveNet Dilated CNN,wavenet_cnn,0.13738924264907837,0.19035083055496216,24.735774099826813,14.30847942829132,0.6307621002197266,57.5712143928036
CNN-GRU,cnn_gru,0.15759316086769104,0.2087775468826294,24.305027723312378,15.921589732170105,0.5558145046234131,55.62218890554723
Attention BiLSTM,attention_bilstm,0.1837894320487976,0.23687134683132172,27.4666965007782,18.371649086475372,0.4282294511795044,55.02248875562219
Attention LSTM,attention_lstm,0.1993476301431656,0.25598829984664917,29.676249623298645,19.917404651641846,0.3322145342826843,54.72263868065967
TCN (Temporal Conv Net),tcn,0.2009366750717163,0.2582188546657562,27.387741208076477,19.99625712633133,0.3205261826515198,55.472263868065966
CNN-LSTM,cnn_lstm,0.20861688256263733,0.2671152651309967,28.577640652656555,20.57286500930786,0.27289992570877075,54.12293853073463
CNN + Transformer,cnn_transformer,0.24465133249759674,0.3139384686946869,32.55831003189087,24.381262063980103,-0.0043517351150512695,55.02248875562219
